"_id",avgOverall,avgPotential,avgSpeed,avgStrength
16,63.666666666666664,80.66666666666667,74.66666666666667,58.666666666666664
17,64.90243902439025,82.82926829268293,72.09756097560975,58.41463414634146
18,65.55633802816901,80.86619718309859,69.23239436619718,59.38028169014085
19,66.31372549019608,79.51960784313725,70.73529411764706,59.48692810457516
20,66.88669064748201,78.02877697841727,69.31834532374101,62.47841726618705
21,67.6292270531401,76.9915458937198,69.76932367149759,63.48671497584541
22,68.02854006586169,75.7563117453348,69.30406147091108,64.67508232711306
23,68.66473988439306,74.98747591522158,69.63391136801542,65.58285163776493
24,68.95081967213115,73.79206212251941,68.87575496117343,66.9490940465919
25,69.4948364888124,72.91566265060241,68.85972461273666,68.05593803786574
26,69.51097178683385,71.25626959247649,68.25862068965517,68.55799373040752
27,69.94200187090739,70.73900841908326,67.92703461178672,68.93171188026193
28,70.12770137524558,70.3713163064833,66.8172888015717,69.61493123772102
29,70.10963455149502,70.22369878183832,64.71650055370985,71.23034330011075
30,70.29784824462061,70.30237825594564,64.81313703284258,70.00226500566251
31,70.64917541229386,70.64917541229386,62.541229385307346,70.92803598200899
32,70.30912476722533,70.30912476722533,59.43947858472998,70.49906890130354
33,70.13810741687979,70.13810741687979,56.452685421994886,70.58823529411765
34,70.2295918367347,70.2295918367347,57.255102040816325,68.71938775510205
35,69.31284916201118,69.31284916201118,49.4804469273743,68.91620111731844
36,68.92372881355932,68.92372881355932,48.96610169491525,70.09322033898304
37,70.32432432432432,70.32432432432432,44.972972972972975,67.47297297297297
38,68.38888888888889,68.38888888888889,40.0,67.25
39,70.55,70.55,43.25,66.15
40,71.5,71.5,36.4,66.7
41,69.75,69.75,45.0,63.75
42,65.0,65.0,56.0,65.0
45,71.0,71.0,57.0,66.0
